00:06:66:E7:8E:58,6
00:06:66:E7:8E:59,7
00:06:66:E7:8E:5E,15
00:06:66:D2:CF:96,9
00:06:66:E7:8E:6A,14
00:06:66:E7:8E:64,8
00:06:66:D2:CF:99,11
00:06:66:E7:8A:CE,10
00:06:66:D2:CF:7B,12
00:06:66:E7:8A:44,16
00:06:66:E7:8A:D6,17
00:06:66:E7:8E:65,13
00:06:66:E7:8A:DE,19
00:06:66:74:41:03,21
00:06:66:74:40:DB,20
00:06:66:E7:8E:B2,18
00:06:66:E7:8A:DF,2
00:06:66:E7:8A:C9,22
00:06:66:74:40:D3,23
00:06:66:E7:8A:CA,30
00:06:66:E7:8A:E6,26
00:06:66:74:48:A7,28
00:06:66:E7:8A:43,27
00:06:66:74:3E:82,31
00:06:66:E7:8A:41,25
00:06:66:D2:CF:8B,24
00:06:66:74:3E:7E,29
00:06:66:74:3E:93,3
00:06:66:74:3E:89,4
00:06:66:E7:8A:E0,5
00:06:66:E7:8A:D0,0
00:06:66:E7:8A:E2,32
00:06:66:E7:8A:D1,1
